00001_CARD_NAME;Power Up;力量提升;
00231_CARD_NAME;Orb of Faeria;仙灵的宝珠;
00231_CARD_TEXT;Gain +1 energy on your first turn.\nGathering more orbs upgrades your orb.;在你的第一回合获得 +1 能量。\n收集更多的宝珠来升级你的宝珠。;
00232_CARD_NAME;Orb of Faeria;仙灵的宝珠;
00232_CARD_TEXT;Gain +1 energy on your 2 first turns.\nGathering more orbs upgrades your orb.;在你的前 2 回合获得 +1 能量。\n收集更多的宝珠来升级你的宝珠。;
00233_CARD_NAME;Orb of Faeria;仙灵的宝珠;
00233_CARD_TEXT;Gain +1 energy every turn.\nGathering more orbs upgrades your orb.;在你的每一回合获得 +1 能量。\n收集更多的宝珠来升级你的宝珠。;
00234_CARD_NAME;Orb of Faeria;仙灵的宝珠;
00234_CARD_TEXT;Gain +2 energy on your first turn and +1 every other turn.\nGathering more orbs upgrades your orb.;在你的第一回合获得 +2 能量，且每隔一个回合获得 +1 能量。\n收集更多的宝珠来升级你的宝珠。;
00235_CARD_NAME;Orb of Faeria;仙灵的宝珠;
00235_CARD_TEXT;Gain +2 energy on your 2 first turns and +1 every other turn.\nGathering more orbs upgrades your orb.;在你的前 2 回合获得 +2 能量，且每隔一个回合获得 +1 能量。\n收集更多的宝珠来升级你的宝珠。;
00236_CARD_NAME;Orb of Faeria;仙灵的宝珠;
00236_CARD_TEXT;Gain +2 energy every turn.;每回合获得 +2 能量。;
00237_CARD_NAME;Ragemind;愤怒之心;
00237_CARD_RAGE_TEXT;Draw until your hand is full.;抽到手牌满为止。;
00237_CARD_TEXT;Draw 4 cards.\nSeifer loses life equal to your hand size.;抽 4 张牌。\n塞弗损失的生命值与你的手牌数量相等。;
00239_CARD_NAME;Mecha Centipede Head;机甲蜈蚣头部;
00240_CARD_NAME;Mecha Centipede Body;机甲蜈蚣身体;
00241_CARD_NAME;Weak Point;弱点;
00241_CARD_TEXT;Dealing {dynamic_number|life|0} damage in a single turn does an additional 5 damage.;在一个回合内造成 {dynamic_number|life|0} 点伤害时，会造成额外的 5 点伤害。;
00242_CARD_NAME;Red Pendulum;红色摆锤;
00242_CARD_TEXT;While your Draw pile has at least 15 cards, this hero gains 5 {power}.;当你的抽牌堆不少于 15 张时，此英雄获得 5 点{power}。;
00243_CARD_NAME;Blue Pendulum;蓝色摆锤;
00243_CARD_TEXT;When this hero {blocknumberless}s, if your discard pile has at least 15 cards, gain 5 more {blocknumberless}.;当此英雄{blocknumberless}，如果你的弃牌堆不少于 15 张，再获得 5 点{blocknumberless}。;
00244_CARD_NAME;Steam Engine;蒸汽机;
00244_CARD_TEXT;The first time you Discard a card each turn, Draw a card.;每回合你第一次弃牌时，抽一张牌。;
00245_CARD_NAME;Khalim's Belt;克里姆腰带;
00245_CARD_TEXT;After playing 15 cards in a battle, draw a card and gain {faeria|1} at the start of each turn.;在一场战斗中打出 15 张牌后，抽一张牌，并在每回合开始时获得 {faeria|1}。;
00246_CARD_NAME;Khalim's Amulet;克里姆护身符;
00246_CARD_TEXT;At the start of each battle, add 4 {refer|252} to your deck.;在每场战斗开始时，将 4 张{refer|252}加入你的牌组。;
00247_CARD_NAME;Tethra's Scale;泰斯拉的鳞片;
00247_CARD_TEXT;Whenever you draw a card, gain {block|1}.;每当你抽一张牌，获得 {block|1}。;
00248_CARD_NAME;Tiki Totem;提基图腾;
00248_CARD_TEXT;Whenever this hero plays an {ally}, gain +1 {power}.;每当此英雄打出一个{ally}，获得 +1 {power}。;
00249_CARD_NAME;Branch of Tarum;塔里木树枝;
00249_CARD_TEXT;At the start of each battle, shuffle 3 {refer|253} into your deck.;在每场战斗开始时，将 3 张{refer|253}洗入你的牌组。;
00250_CARD_NAME;Crumbling Blade;崩坏之刃;
00250_CARD_TEXT;Until your deck is shuffled the first time, gain +2 {power}.;直到你的牌组第一次被洗牌前，获得 +2 {power}。;
00251_CARD_NAME;Crumbling Mask;崩坏面具;
00251_CARD_TEXT;Until your deck is shuffled the first time, gain {faeria|1} per turn.;直到你的牌组第一次被洗牌前，每回合获得 {faeria|1}。;
00252_CARD_NAME;Khalim's Prayer;克里姆的祈福者;
00252_CARD_TEXT;Draw 2 cards.\n{exhaust};抽 2 张牌。\n{exhaust};
00253_CARD_NAME;Gaea's Grace;盖亚的恩赐;
00253_CARD_TEXT;Gain {block|5}. Draw a card.\n{exhaust};获得 {block|5}。抽一张牌。\n{exhaust};
00254_CARD_NAME;Slowing Mists;缓速迷雾;
00254_CARD_TEXT;Cards played by the hero in this position cost {faeria|1} more.\nLasts {dynamic_number|life|0} turns.;英雄在这个位置上打出的牌会多消耗 {faeria|1}。\n持续 {dynamic_number|life|0} 回合。;
00255_CARD_NAME;Fly Weight;蝇量;
00255_CARD_TEXT;Whenever you end your turn with no cards in hand, Sharra gains 1 {power}.;每当你在结束回合时没有手牌，莎拉获得 1 点{power}。;
00256_CARD_NAME;Bouncer;弹跳者;
00256_CARD_TEXT;If you still have block at the end of enemies' turn, add a {refer|214} to your hand.;如果你在敌人的回合结束时仍有格挡，则将一张{refer|214}加入你的手牌。;
00257_CARD_NAME;Quick Reflexes;快速反应;
00257_CARD_TEXT;Once per battle, press on Sorocco to gain {block|15} and move him to the front.;每场战斗一次，按索洛科可获得 {block|15}并将其移动到前方。;
00257_CARD_TEXT_CONTROLLER;Once per battle, select Sorocco and press {@INTENT_UI_CONFIRM} to gain {block|15} and move him to the front.;每场战斗一次，选择索洛科并按{@INTENT_UI_CONFIRM}以获得 {block|15}并将他移动到前方。;
00257_CARD_TEXT_MOUSE;Once per battle, click on Sorocco to gain {block|15} and move him to the front.;每场战斗一次，点击索洛科可获得 {block|15}并将其移动到前方。;
00258_CARD_NAME;Dark Thoughts;黑暗思想;
00258_CARD_TEXT;Once per battle, press on Seifer to gain 10 {rage} and move him to the front.;每场战斗一次，按塞弗可获得 10 点{rage}并将他移动到前方。;
00258_CARD_TEXT_CONTROLLER;Once per battle, select Seifer and press {@INTENT_UI_CONFIRM} to gain 10 {rage} and move him to the front.;每场战斗一次，选择塞弗并按{@INTENT_UI_CONFIRM}可获得 10 点{rage}并将他移动到前方。;
00258_CARD_TEXT_MOUSE;Once per battle, click on Seifer to gain 10 {rage} and move him to the front.;每场战斗一次，点击塞弗可获得 10 点{rage}并将他移动到前方。;
00259_CARD_NAME;Soothing Mists;舒缓迷雾;
00259_CARD_TEXT;The leading enemy has -2 {power}.;领军的敌人 -2 {power}。;
00262_CARD_NAME;Rending Blow;撕裂打击;
00262_CARD_TEXT;The first hit of the battle inflicts {bleednumberless} equal to one third the damage dealt.;战斗的首次命中造成{bleednumberless}，其值相当于所施加伤害的三分之一。;
00263_CARD_NAME;Charismatic;魅力非凡;
00263_CARD_TEXT;Allies cost {faeria|1} less.;盟友的消耗减少 {faeria|1}。;
00264_CARD_NAME;Hardy;顽强;
00264_CARD_TEXT;At the end of each battle, both heroes heal 3.;每场战斗结束时，两个英雄都会得到 3 点治疗。;
00265_CARD_NAME;Second Wind;重振旗鼓;
00265_CARD_TEXT;At the start of turn 5, the heroes gain 3 {power}.;在第 5 回合开始时，英雄获得 3 点{power}。;
00266_CARD_NAME;Knife Juggling;小刀杂耍;
00266_CARD_TEXT;Whenever Sharra adds a {refer|1006} to your hand, add twice as many.;每当莎拉向你的手牌添加一张{refer|1006}，就添加两倍的数量。;
00267_CARD_NAME;Quick Thinking;快速思考;
00267_CARD_TEXT;The first time each turn you have no cards in hand, draw a card.;每回合你第一次没有手牌时，抽一张牌。;
00268_CARD_NAME;Seifer's Cloak;塞弗斗篷;
00268_CARD_TEXT;Whenever the hero is at or below 50% life, they gain 3 {power}.;每当英雄的生命值不高于 50% 时，就会获得 3 点{power}。;
00269_CARD_NAME;Simulacrum of Warfare;战斗塑像;
00269_CARD_TEXT;{ally}\n{aggressive};{ally}\n{aggressive};
00270_CARD_NAME;Simulacrum of Resilience;复原力模拟;
00270_CARD_TEXT;{ally}\nGain {blocknumberless} equal to this ally's {spirit} at the start of each turn.;{ally}\n在每个回合开始时，获得相当于此盟友{spirit}的{blocknumberless}。;
00271_CARD_NAME;Simulacrum of Cunning;狡诈模拟;
00271_CARD_TEXT;{ally}\nWhenever you play a {faeria|0} cost card, deal damage equal to this ally's {spirit} to the leading enemy.;{ally}\n每当你打出一张消耗为 {faeria|0} 的牌，就对领军的敌人造成与此盟友的{spirit}相等的伤害。;
00272_CARD_NAME;Fluffy Daydreams;毛绒白日梦;
00272_CARD_TEXT;Draw a card.\n\nDefeating a chapter boss permanently removes Fluffy Daydreams from your deck.;抽一张牌。\n\n打败一个章节的头目后，将从你的牌组中永久移除毛绒白日梦。;
00273_CARD_NAME;Blessing of Majinata;马吉纳塔的祝福;
00273_CARD_TEXT;Gain 2 {power}.\nHeal for 5 at the end of each battle.\nIf the hero dies, the blessing fades.;获得 2 点{power}。\n每次战斗结束后治疗 5 点。\n如果英雄死亡，祝福就会消失。;
00275_CARD_NAME;Devil's Rest;魔鬼的休息;
00275_CARD_RAGE_TEXT;{combo}\nDraw 5 cards.;{combo}\n抽 5 张牌。;
00275_CARD_TEXT;{combo}\nDraw a card. If you have 0 {rage}, draw 2 cards instead.;{combo}\n抽一张牌。如果你的{rage}为 0，则抽 2 张牌代替。;
00276_CARD_NAME;Mecha Centipede Body;机甲蜈蚣身体;
00277_CARD_NAME;Mecha Centipede Body;机甲蜈蚣身体;
00278_CARD_NAME;Mecha Centipede Body;机甲蜈蚣身体;
00279_CARD_NAME;Llamacorn Horn;独角羊驼角;
00279_CARD_TEXT;Whenever the heroes draft a card, they both gain 4 life.;每当英雄抽一张牌时，它们都获得 4 点生命值。;
00280_CARD_NAME;Mote of Energy;能量埃尘;
00280_CARD_TEXT;Gain {faeria|2}.\n{exhaust};获得 {faeria|2}。\n{exhaust};
00281_CARD_NAME;Permanent Malaise;永久不适;
00281_CARD_TEXT;Whenever the hero in this position plays a card, they take {dynamic_number|life|0} damage.;每当这个位置的英雄打出一张牌，就会受到 {dynamic_number|life|0} 点伤害。;
00282_CARD_NAME;Blood Garnet;血色石榴石;
00282_CARD_SUFFIX_TEXT;Each hit inflicts {bleed|2}.;每次命中造成 {bleed|2}。;
00282_CARD_TEXT;Each time a hero hits with this card, inflict {bleed|2}.;每次有英雄用这张牌命中时，造成 {bleed|2}。;
00283_CARD_NAME;Bronze Boomerang;青铜回旋镖;
00283_CARD_SUFFIX_TEXT;Shuffle this into your deck after playing it.;打出此牌后，将其洗入你的牌组。;
00283_CARD_TEXT;After you play this, shuffle it into your deck at the end of the turn.;打出此牌后，在回合结束时将其洗入你的牌组。;
00284_CARD_NAME;Acorn of Plenty;丰收橡子;
00284_CARD_SUFFIX_TEXT;Draw a card for each 8 cards in your draw pile.;你的抽牌堆中每有 8 张牌就抽一张牌。;
00284_CARD_TEXT;Draw a card for each 8 cards in your draw pile.;你的抽牌堆中每有 8 张牌就抽一张牌。;
00285_CARD_NAME;Red Diamond;红钻石;
00285_CARD_SUFFIX_TEXT;When this blocks, deal twice as much damage to the leading enemy instead.;当此牌格挡时，会对领军的敌人造成两倍的伤害。;
00285_CARD_TEXT;When this blocks, deal twice as much damage to the leading enemy instead.;当此牌格挡时，会对领军的敌人造成两倍的伤害。;
00286_CARD_NAME;Singularity;奇点;
00286_CARD_SUFFIX_TEXT;This card costs {faeria|0}.;这张牌消耗 {faeria|0}。;
00286_CARD_TEXT;This costs {faeria|3} less.;此牌消耗减少 {faeria|3}。;
00287_CARD_NAME;Broken Bottle;破瓶子;
00287_CARD_TEXT;Inflict {bleed|5} on the leading enemy.;对领军的敌人造成 {bleed|5}。;
00288_CARD_NAME;Iona's Mirror;伊欧娜的镜子;
00288_CARD_TEXT;Add three copies (without gems) of the last card you played this turn to your hand.\nIona's Mirror cannot copy itself.\n{exhaust};将你本回合打出的最后一张牌的三张副本（不含宝石）加入你的手牌。\n伊欧娜的镜子无法复制自身。{exhaust};
00289_CARD_NAME;Ocarina;时之笛;
00289_CARD_TEXT;Gain {faeria|2}.\nDraw 2 cards.\n{exhaust}.;获得 {faeria|2}。\n抽 2 张牌。\n{exhaust}。;
00290_CARD_NAME;Sword of Blood;血剑;
00290_CARD_TEXT;Instead of dealing damage, Sharra cards inflict half as much {bleednumberless} instead.;莎拉的牌不是造成伤害，而是造成等同于一半伤害值的 {bleednumberless}。;
00291_CARD_NAME;Berserker Brew;狂战士啤酒;
00291_CARD_TEXT;Instead of Blocking, Sorocco's cards deal twice that much damage to the leading enemy.;索洛科的牌不是格挡，而是对领军的敌人造成两倍的伤害。;
00292_CARD_NAME;Eye of Insanity;疯狂之眼;
00292_CARD_TEXT;Seifer is always enraged but loses 4 life whenever he plays a card.;塞弗始终处于激怒状态，但每当他打出一张牌时都会受到 4 点伤害。;
00293_CARD_NAME;Overflowing Teapot;水满则溢;
00293_CARD_TEXT;Gain 20 max life.\nOnce per battle, press on Aurora to make all your cards cost {faeria|1} less this turn until they are played.;获得 20 点最大生命值。\n每场战斗一次，按奥罗拉，本回合你手中所有牌在打出前的消耗减少 {faeria|1}。;
00293_CARD_TEXT_CONTROLLER;Gain 20 max life.\nOnce per battle, select Aurora and press {@INTENT_UI_CONFIRM} to make all your cards cost {faeria|1} less this turn until they are played.;获得 20 点最大生命值。\n每场战斗一次，选择奥罗拉并按{@INTENT_UI_CONFIRM}，让本回合你所有的牌在打出前的消耗减少 {faeria|1}。;
00293_CARD_TEXT_MOUSE;Gain 20 max life.\nOnce per battle, click on Aurora to make all your cards cost {faeria|1} less this turn until they are played.;获得 20 点最大生命值。\n每场战斗一次，点击奥罗拉，本回合你所有的牌在打出前的消耗减少 {faeria|1}。;
00294_CARD_NAME;Djinn's Lamp;神灯;
00294_CARD_TEXT;Add a random card from each hero to your hand. They cost {faeria|0}.\n{exhaust};每个英雄随机添加一张牌到你的手牌中。它们的消耗为 {faeria|0}。\n{exhaust};
00295_CARD_NAME;Rainbow Yak;彩虹牦牛;
00296_CARD_NAME;Rainbow Yak;彩虹牦牛;
00297_CARD_NAME;Cleansing Rainbow;净化彩虹;
00297_CARD_TEXT;When this creature dies, the heroes {exhaust} their hand.;当此生物死亡时，英雄们{exhaust}他们的手牌。;
00298_CARD_NAME;Wayfarer;徒步旅行者;
00298_CARD_TEXT;Whenever you use a brush, reveal three extra adjacent spaces at random.;每当你使用画笔时，随机显现额外的三个相邻空间。;
00299_CARD_NAME;Curiosity;好奇心;
00299_CARD_TEXT;Whenever you defeat an elite battle, all items at Naddim's shop are rerolled.;每当你击败一场精英战斗，纳迪姆商店的所有物品都会刷新。;
00300_CARD_NAME;Insatiable;贪得无厌;
00300_CARD_TEXT;All future cards gained have 2 gem sockets.;未来获得的所有卡片都有 2 个宝石插槽。;
00301_CARD_NAME;Fortune;幸运;
00301_CARD_TEXT;Vaults of Wisdom always offer 1 card with one random gem in it.;智慧宝库总是提供 1 张带有随机宝石的牌。;
00302_CARD_NAME;Brain Size Matters;脑子大小很重要;
00302_CARD_TEXT;Vaults of Wisdom can be visited twice.;智慧宝库可以访问两次。;
00303_CARD_NAME;Seven Inches Taller;高了七英寸;
00303_CARD_TEXT;Aurora has +7 maximum life.;奥罗拉的最大生命值 +7。;
00304_CARD_NAME;Aurora's Teacup;奥罗拉的茶杯;
00304_CARD_TEXT;This hero gains +12 max life.\nFully heals the hero when taken.;该英雄获得 +12 的最大生命值。\n在拿取后完全治疗英雄。;
00305_CARD_NAME;Prayer Beads;念珠;
00305_CARD_TEXT;Whenever you end your turn with no cards in hand, the leading hero gains 1 {courage}.;每当你在结束回合时没有手牌，领军英雄获得 1 点{courage}。;
00306_CARD_NAME;Divine Cloak;神圣斗篷;
00306_CARD_TEXT;When you discard cards at the end of your turn, gain {blocknumberless} equal to their combined cost.;当你在回合结束弃牌时，获得与它们的总消耗相等的{blocknumberless}。;
00308_CARD_NAME;Aura of Weakness;虚弱光环;
00308_CARD_TEXT;The hero in this position deals 33% less attack damage. \nDuration {dynamic_number|life|0} turn(s).;处于此位置的英雄造成的攻击伤害减少 33%。\n持续 {dynamic_number|life|0} 回合。;
00309_CARD_NAME;Dagger Cage;匕首笼;
00309_CARD_TEXT;{combo}\nGain {block|4}, plus 2 additional <b>Block</b> for each {refer|1006} in your hand.;{combo}\n获得 {block|4}，你手牌中每有一张{refer|1006}，额外增加 2 点<b>格挡</b>。;
00310_CARD_NAME;Magda's Rose;玛格妲的玫瑰;
00310_CARD_TEXT;At the start of your turn, draw a card. It costs {faeria|0};在你的回合开始时，抽一张牌，它耗费 {faeria|0};
00312_CARD_NAME;Eye of the Apex;阿佩克斯之眼;
00312_CARD_SUFFIX_TEXT;{reap} - This hero gains 1 {power} permanently.\n{exhaust};{reap} - 此英雄永久获得 1 点{power}。\n{exhaust};
00312_CARD_TEXT;{reap} - This hero gains 1 {power} permanently.\n{exhaust};{reap} - 此英雄永久获得 1 点{power}。\n{exhaust};
00313_CARD_NAME;Rainbow Gem;彩虹宝石;
00313_CARD_SUFFIX_TEXT;Heal both heroes for 7 life.\n{exhaust};治疗两位英雄 7 点生命值。\n{exhaust};
00313_CARD_TEXT;Heal both heroes for 7 life.\n{exhaust};治疗两位英雄 7 点生命值。\n{exhaust};
00314_CARD_NAME;Mask of the Predator;捕食者面具;
00314_CARD_TEXT;The heroes gain:\n{reap} - Shuffle a {refer|315} into your deck.;英雄获得：\n{reap}- 将一张{refer|315}洗入你的牌组。;
00315_CARD_NAME;Hunt Down;追捕;
00315_CARD_TEXT;The leading hero gains 10 {power} for their next attack.\nDraw a card.\n{exhaust};领军英雄的下一次攻击获得 10 点{power}。\n抽一张牌。\n{exhaust};
00316_CARD_NAME;Claws of the Predator;捕食者之爪;
00316_CARD_TEXT;While this hero is leading, their attacks inflict {bleed|1}.;当此英雄处于领军位置时，其攻击造成 {bleed|1}。;
00317_CARD_NAME;Hunting Scope;狩猎镜;
00317_CARD_TEXT;The first hit each turn deals double damage.;每回合的首次命中会造成双倍伤害。;
00318_CARD_NAME;Hunting Spear;狩猎矛;
00318_CARD_TEXT;This hero gains 2 {power} while in the back row.;该英雄在后排时获得 2 点{power}。;
00319_CARD_NAME;Hunting Cloak;狩猎斗篷;
00319_CARD_TEXT;If this hero did not attack last turn, they gain 2 {power} this turn.;如果此英雄上一回合没有攻击，则其本回合获得 2 点{power}。;
00320_CARD_NAME;Alacrity;欣喜;
00320_CARD_TEXT;Once per battle, press on Sharra to attack the leading enemy for {dynamic_number|power|15} and {retreat}.;每场战斗一次，按莎拉可以攻击领军敌人 {dynamic_number|power|15} 点并{retreat}。;
00320_CARD_TEXT_CONTROLLER;Once per battle, select Sharra and press {@INTENT_UI_CONFIRM} to attack the leading enemy for {dynamic_number|power|15} and {retreat}.;每场战斗一次，选择莎拉并按{@INTENT_UI_CONFIRM}来攻击领军的敌人 {dynamic_number|power|15}并{retreat}。;
00320_CARD_TEXT_MOUSE;Once per battle, click on Sharra to attack the leading enemy for {dynamic_number|power|15} and {retreat}.;每场战斗一次，点击莎拉可以攻击领军的敌人 {dynamic_number|power|15} 点并{retreat}。;
00321_CARD_NAME;Shard of Hunting;狩猎碎片;
00321_CARD_SUFFIX_TEXT;Attack the leading enemy for damage equal to your draw pile. ({dynamic_number|drawPile|0});攻击领军的敌人，造成与你抽牌堆的牌数相等的伤害。（{dynamic_number|drawPile|0}）;
00321_CARD_TEXT;Attack the leading enemy for damage equal to your draw pile. ({dynamic_number|drawPile|0});攻击领军的敌人，造成与你的抽牌堆牌数相等的伤害。（{dynamic_number|drawPile|0}）;
00322_CARD_NAME;Savage Fang;野蛮之牙;
00322_CARD_SUFFIX_TEXT;This hero loses 5 life. They gain 2 {power}.;此英雄损失 5 点生命值。该英雄获得 2 点{power}。;
00322_CARD_TEXT;This hero loses 5 life. They gain 2 {power}.;此英雄损失 5 点生命值。该英雄获得 2 点{power}。;
00323_CARD_NAME;Primal Skull;原始头骨;
00323_CARD_SUFFIX_TEXT;Gain {block|15}.;获得 {block|15}。;
00323_CARD_TEXT;Gain {block|15}. This card costs {faeria|1} more.;获得 {block|15}。这张牌多消耗 {faeria|1}。;
00324_CARD_NAME;Gem of Breaking;破坏宝石;
00324_CARD_SUFFIX_TEXT;This card's hits remove all enemy block.;这张牌的命中会移除所有敌人的格挡。;
00324_CARD_TEXT;This card's hits remove all enemy block. (Before damage is dealt.);这张牌命中之后会移除所有敌人的格挡。（在造成伤害之前。）;
00325_CARD_NAME;Fight or Flight;战斗或逃跑;
00325_CARD_TEXT;Gain {block|5}.\nIf Sharra has {courage}, Attack the leading enemy for {dynamic_number|power|15}.;获得 {block|5}。\n如果莎拉有{courage}，则攻击领军的敌人 {dynamic_number|power|15} 点。;
00326_CARD_NAME;Rolling Camouflage;滚动伪装;
00326_CARD_TEXT;Each time the heroes swap this turn, gain {block|4}.;本回合英雄每次交换时，获得 {block|4}。;
00327_CARD_NAME;Stalk;跟踪;
00327_CARD_RAGE_TEXT;Seifer gains 3 {power}, plus 3 for each other Seifer card in your hand until the end of the turn.;塞弗获得 3 点{power}，你手牌中每有一张塞弗牌再加 3 点，直到回合结束。;
00327_CARD_TEXT;Discard all Seifer cards.\nNext turn, Seifer gains 3 {power}, plus 3 for each card discarded this way until the end of the turn.;丢弃所有塞弗牌。\n下一回合，塞弗获得 3 点{power}，每以这种途径丢弃一张牌就再加 3 点，直到回合结束。;
00328_CARD_NAME;Primal Enchantment;原始魔力;
00328_CARD_TEXT;Until the end of the turn, both heroes gain 5 {power} but all cards cost {faeria|1} more.;直到回合结束，两个英雄都获得 5 点{power}，但所有牌都多消耗 {faeria|1}。;
00329_CARD_NAME;Stalk;跟踪;
00329_CARD_TEXT;Next turn, Seifer gains {dynamic_number|life|0} {power} until the end of the turn.;下一回合，塞弗获得 {dynamic_number|life|0} 点{power}，直到回合结束。;
00330_CARD_NAME;Rolling Camouflage;滚动伪装;
00330_CARD_TEXT;Each time the heroes swap this turn, gain {dynamic_number|life|0} {blocknumberless}.;本回合英雄每次交换时，获得 {dynamic_number|life|0} {blocknumberless}。;
00331_CARD_NAME;Primal Enchantment;原始魔力;
00331_CARD_TEXT;Until the end of the turn, both heroes gain {dynamic_number|poweIncrease|5} {power} but all cards cost {faeria|1} more for each stack of primal enchantment.;直到回合结束，两个英雄都获得 {dynamic_number|poweIncrease|5} 点{power}，但每叠原始魔力都会让所有牌多消耗 {faeria|1}。;
00332_CARD_NAME;Head of the Apex;阿佩克斯头部;
00333_CARD_NAME;Body of the Apex;阿佩克斯身体;
00334_CARD_NAME;Aura of Weakness;虚弱光环;
00334_CARD_TEXT;The hero in this position deals 33% less attack damage. \nDuration {dynamic_number|life|0} turn(s).;处于此位置的英雄造成的攻击伤害减少 33%。\n持续 {dynamic_number|life|0} 回合。;
00335_CARD_NAME;Gabrian Compass;加百兰罗盘;
00335_CARD_TEXT;Runes of Sight always reveal a Gemstone if there are any unrevealed ones left in the chapter.;如果本章中还有任何未显现的宝石堆，视野符文会始终揭示一个宝石堆。;
00336_CARD_NAME;Himsael's Quill;辛塞尔的羽毛笔;
00336_CARD_TEXT;Whenever you consume an ink, reveal one extra adjacent space at random;每当你消耗一个墨水时，随机显现一个额外的相邻空间。;
00337_CARD_NAME;Golden Pick;黄金镐;
00337_CARD_TEXT;Whenever you pick up gold, you have a 20% chance to double the amount of gold gained.;每当你捡到金币时，有20%的几率使获得的金币数量翻倍。;
00338_CARD_NAME;Naddim's Purse;纳迪姆的钱袋;
00338_CARD_TEXT;Items at Naddim's shop cost 1 less for each card in your deck.;你的牌组中每有一张牌，纳迪姆商店物品的花费就减少 1 点。;
00339_CARD_NAME;Kobold Step Stool;狗头人踏脚凳;
00339_CARD_TEXT;Your deck is considered to be 4 cards larger regarding talents.;根据天赋，你的牌组可以看作增加了 4 张牌。;
00340_CARD_NAME;Amai Candelabra;阿麦烛台;
00340_CARD_TEXT;Skytowers have +1 reveal radius.;天空塔的显现半径 +1。;
00341_CARD_NAME;Immobilizing Web;陷顿之网;
00341_CARD_TEXT;At the end of each turn reduce the {power} of the leading hero by 1.\nDeepwood Stalker has bonus {power} while attacking this hero.\nLasts until the end of the battle.;在每个回合结束时，领军英雄的{power}减少 1 点。\n深林潜伏者在攻击此英雄时有{power}加成。\n持续到战斗结束。;
00342_CARD_NAME;Immobilizing Cocoon;陷顿之茧;
00342_CARD_TEXT;Reduce the bearer's {power} by {dynamic_number|life|0}.\nDeepwood Stalker has {dynamic_number|life|0} bonus {power} while attacking the bearer.;减少持有者的{power} {dynamic_number|life|0} 点。\n深林潜伏者在攻击持有时有 {dynamic_number|life|0} 点{power}加成。;
00343_CARD_NAME;Krog's Dinner;克罗格的晚饭;
00344_CARD_NAME;Ever Hungry;永恒饥饿;
00344_CARD_TEXT;For every 8 cards played in one turn, {exhaust} the heroes' hand.\nActivates in: {dynamic_number|life|0} plays.;一回合内每打出 8 张牌，就{exhaust}英雄的手牌。\n在 {dynamic_number|life|0} 张牌后激活。;
00345_CARD_NAME;Giga Claw;巨爪;
00345_CARD_TEXT;Gain {dynamic_number|life|0} {power}.;获得 {dynamic_number|life|0} 点{power}。;
00346_CARD_NAME;Delirium Beam;谵妄光束;
00346_CARD_TEXT;Whenever the heroes play a card, discard and redraw one less card than they had.;每当英雄们打出一张牌，就丢弃手牌并重新抽比原手牌数量少一张的牌。;
00347_CARD_NAME;Cage Launcher+;笼子发射器+;
00347_CARD_TEXT;Reduce the leading hero's {power} by {dynamic_number|life|0}.;减少领军英雄的{power} {dynamic_number|life|0} 点。;
00348_CARD_NAME;Charged Barrier+;充能障碍+;
00348_CARD_TEXT;Reflect {dynamic_number|life|0} damage to attackers.;对攻击者反弹 {dynamic_number|life|0} 点伤害。;
00349_CARD_NAME;Disintegration Laser+;分解激光+;
00349_CARD_TEXT;Reduce the heroes <b>block</b> by {dynamic_number|life|0} before attacking.;在攻击前减少英雄的<b>格挡</b> {dynamic_number|life|0} 点。;
00350_CARD_NAME;Advanced AI;高级AI;
00350_CARD_TEXT;Cap-10 has upgraded his upgrades! Also, he equips them more carefully.;CAP-10已经装备了各种升级！而且装备得更加仔细了。;
00351_CARD_NAME;Pocket Ink III;袖珍墨水 III;
00351_CARD_TEXT;Start each chapter with an additional random ink.;每一章都会以一个额外的随机墨水开始。;
00352_CARD_NAME;Golden Touch IV;点石成金 IV;
00352_CARD_TEXT;Gold piles contain 10% more gold. (40% total);金币堆中含有的金币多 10%。（共 40%）;
00353_CARD_NAME;Golden Touch V;点石成金 V;
00353_CARD_TEXT;Gold piles contain 10% more gold. (50% total);金币堆中含有的金币多 10%。（共 50%）;
00354_CARD_NAME;Revealing Light;启示之光;
00354_CARD_TEXT;Reveal spaces around the faerie based on damage dealt.\nKilling the faerie reveals 2 spaces around it.;根据造成的伤害显现仙灵周围的空间。\n杀死仙灵会显现它周围的 2 个空间。;
00355_CARD_NAME;Aura of Confusion;混乱光环;
00355_CARD_TEXT;The hero in this position takes 5 damage when they play a card.\nDuration {dynamic_number|life|0} turn(s).;这个位置的英雄在出牌时受到 5 点伤害。\n持续 {dynamic_number|life|0} 回合。;
00356_CARD_NAME;Debilitator;衰减机器;
00357_CARD_NAME;Orb of Resistance;抗性宝珠;
00358_CARD_NAME;Dark Sunflower;黑暗向日葵;
00359_CARD_NAME;Red Digitalis;红色洋地黄;
00360_CARD_NAME;Lotus;莲花;
00361_CARD_NAME;Debilitating Signal;衰弱信号;
00361_CARD_TEXT;Whenever the heroes play a card, discard and redraw their hand.;每当英雄们打出一张牌，就将其丢弃并重抽他们的手牌。;
00362_CARD_NAME;Resonating Shield;共振盾;
00362_CARD_TEXT;Whenever the heroes play a card, this gains {dynamic_number|life|0} {blocknumberless}.;每当英雄们打出一张牌，此牌获得 {dynamic_number|life|0} 点{blocknumberless}。;
